groupID,Gene_Name,APA_direction,APA_sig,pvalue_up,pvalue_down,padj_up,padj_down,log2FC,padj,pvalue,FC_text_label,gene_label
ENSG00000110851,PRDM4,distal,no,0.281218755941148,0.49201214790254,1,1,0.127238659048534,1,0.281218755941148,no,no
ENSG00000110881,ASIC1,distal,no,0.249890835632277,0.2635644502142,1,1,0.430956732229426,1,0.249890835632277,no,no
ENSG00000110887,DAO,distal,no,0.1022458810171,0.103613995510774,1,1,1.00151208625538,1,0.1022458810171,no,no
ENSG00000110917,MLEC,proximal,no,0.25348907362572,0.565777401098359,1,1,-18.7720704259821,1,0.25348907362572,no,no
ENSG00000110921,MVK,distal,no,0.719814710813692,0.698619217041517,1,1,0.233908798336774,1,0.698619217041517,no,no
ENSG00000110925,CSRNP2,distal,no,0.043037778146357,0.0755110333884773,0.920397716677634,1,0.279057269114173,0.920397716677634,0.043037778146357,no,no
ENSG00000110955,ATP5F1B,distal,no,0.0656014561237542,0.0655843792055213,1,1,0.540688896879811,1,0.0655843792055213,no,no
ENSG00000110958,PTGES3,proximal,no,0.343366134266447,0.0268552680221492,1,0.784906242647359,-0.752966447549751,0.784906242647359,0.0268552680221492,no,no
ENSG00000110987,BCL7A,distal,no,0.532054318645263,0.535736246918058,1,1,0.32373701884502,1,0.532054318645263,no,no
ENSG00000111011,RSRC2,distal,no,0.420274856447125,0.401617617623431,1,1,0.220431839162369,1,0.401617617623431,no,no
ENSG00000111058,ACSS3,proximal,no,0.887408779974503,0.5526539302327,1,1,-4.05144673493838,1,0.5526539302327,no,no
ENSG00000111110,PPM1H,proximal,no,0.630316494899355,0.636191171320621,1,1,-0.174100529904363,1,0.630316494899355,no,no
ENSG00000111142,METAP2,distal,no,0.527931017344664,0.746203130379222,1,1,18.4644929279073,1,0.527931017344664,no,no
ENSG00000111144,LTA4H,proximal,no,0.968353735802005,0.813507703286208,1,1,-0.0948522985974947,1,0.813507703286208,no,no
ENSG00000111145,ELK3,distal,no,0.726485612564119,0.787129542397423,1,1,0.0864160582137226,1,0.726485612564119,no,no
ENSG00000111196,MAGOHB,distal,no,0.421008566333749,0.505613015668957,1,1,0.662132572485696,1,0.421008566333749,no,no
ENSG00000111203,ITFG2,proximal,no,0.0635158807792781,0.891972480296181,1,1,-1.45870538688743,1,0.0635158807792781,no,no
ENSG00000111229,ARPC3,distal,no,0.584889043923233,0.616813425088986,1,1,0.184901675508959,1,0.584889043923233,no,no
ENSG00000111231,GPN3,proximal,no,0.205207125560415,0.612619116821406,1,1,-1.29332032014976,1,0.205207125560415,no,no
ENSG00000111237,VPS29,distal,no,0.577837482255196,0.458743685703416,1,1,0.225037032382277,1,0.458743685703416,no,no
ENSG00000111247,RAD51AP1,distal,no,0.727901684464676,0.752981285655508,1,1,0.135894855983095,1,0.727901684464676,no,no
ENSG00000111261,MANSC1,proximal,no,0.748442039241794,0.748973467337988,1,1,-15.9369260286526,1,0.748442039241794,no,no
ENSG00000111269,CREBL2,distal,no,0.524875214619294,0.964918413973196,1,1,0.518190672465259,1,0.524875214619294,no,no
ENSG00000111275,ALDH2,distal,no,0.466132271540281,0.273301596033885,1,1,0.399565521643678,1,0.273301596033885,no,no
ENSG00000111300,NAA25,proximal,no,0.147992267016325,0.424985226272351,1,1,-0.75052208661465,1,0.147992267016325,no,no
ENSG00000111328,CDK2AP1,distal,no,0.221422274374887,0.273300079471485,1,1,0.509418415343667,1,0.221422274374887,no,no
ENSG00000111344,RASAL1,proximal,no,0.877559816911247,0.872636413671444,1,1,-0.0728530072438174,1,0.872636413671444,no,no
ENSG00000111358,GTF2H3,distal,no,0.337026357641099,0.172372520345366,1,1,0.824564201950402,1,0.172372520345366,no,no
ENSG00000111371,SLC38A1,proximal,no,0.0497014288811441,0.718678919326473,0.974296550289844,1,-1.80829971840406,0.974296550289844,0.0497014288811441,no,no
ENSG00000111412,SPRING1,distal,no,0.24303107365911,0.0916449023086077,1,1,1.39153616279597,1,0.0916449023086077,no,no
ENSG00000111445,RFC5,distal,no,0.659861085271907,0.032305008664656,1,0.839631192409104,3.49085285435169,0.839631192409104,0.032305008664656,no,no
ENSG00000111450,STX2,distal,no,0.506774533123912,0.564759909096367,1,1,0.462424078539238,1,0.506774533123912,no,no
ENSG00000111490,TBC1D30,distal,no,0.656836726730234,0.902859223138473,1,1,0.521075731359313,1,0.656836726730234,no,no
ENSG00000111530,CAND1,distal,no,0.846330025909827,0.711085973701482,1,1,0.610082239301828,1,0.711085973701482,no,no
ENSG00000111540,RAB5B,distal,no,0.0551573247236651,0.379453734230988,0.993449854266573,1,0.604374340779776,0.993449854266573,0.0551573247236651,no,no
ENSG00000111581,NUP107,distal,no,0.37502796151756,0.746822829042243,1,1,0.50916991524657,1,0.37502796151756,no,no
